t;z;y;vz;vy;az;ay;KE;V
1.0e-18;-5.0e-8;2.0e-11;6.943824903389994e6;0.0;-1.650467587583388e19;5.662159475253208e15;1.6020000000000004e-13;6.3435481176455096e-15
2.0e-18;-4.999305617509661e-8;2.0e-11;6.943808398714119e6;0.005662159475253208;-1.6508651592626123e19;5.664195782222027e15;1.6019923844683022e-13;6.3443097634380475e-15
3.0000000000000002e-18;-4.998611236669789e-8;2.0000000005662157e-11;6.943791890062526e6;0.011326355257475235;-1.6512628740808049e19;5.666233062908912e15;1.6019847671202496e-13;6.345071590899232e-15
4.0e-18;-4.997916857480783e-8;2.000000001698851e-11;6.943775377433785e6;0.016992588320384146;-1.6516607321064761e19;5.668271317900249e15;1.6019771479551958e-13;6.345833600093866e-15
5.0e-18;-4.9972224799430395e-8;2.00000000339811e-11;6.943758860826464e6;0.022660859638284396;-1.6520587334082853e19;5.670310547782196e15;1.6019695269724932e-13;6.34659579108666e-15
6.0000000000000004e-18;-4.996528104056957e-8;2.0000000056641957e-11;6.94374234023913e6;0.028331170186066592;-1.6524568780548362e19;5.672350753115242e15;1.601961904171493e-13;6.34735816394241e-15
7.0e-18;-4.995833729822933e-8;2.0000000084973126e-11;6.94372581567035e6;0.03400352093918183;-1.6528551661148357e19;5.674391934507317e15;1.601954279551548e-13;6.3481207187259614e-15
8.0e-18;-4.995139357241366e-8;2.0000000118976647e-11;6.943709287118688e6;0.03967791287368915;-1.653253597656996e19;5.676434092515057e15;1.601946653112009e-13;6.348883455502311e-15
9.000000000000001e-18;-4.994444986312654e-8;2.000000015865456e-11;6.9436927545827115e6;0.04535434696620421;-1.653652172750077e19;5.678477227740763e15;1.6019390248522268e-13;6.349646374336236e-15
1.0e-17;-4.993750617037196e-8;2.0000000204008907e-11;6.943676218060984e6;0.051032824193944976;-1.6540508914629022e19;5.680521340755593e15;1.6019313947715527e-13;6.350409475292696e-15
1.1e-17;-4.99305624941539e-8;2.000000025504173e-11;6.94365967755207e6;0.05671334553470057;-1.6544497538642958e19;5.682566432136218e15;1.601923762869337e-13;6.351172758436719e-15
1.2000000000000001e-17;-4.992361883447635e-8;2.0000000311755076e-11;6.943643133054531e6;0.06239591196683678;-1.654848760023178e19;5.684612502490107e15;1.6019161291449298e-13;6.3519362238332545e-15
1.3000000000000002e-17;-4.9916675191343295e-8;2.0000000374150986e-11;6.943626584566931e6;0.06808052446932689;-1.6552479100084541e19;5.686659552376242e15;1.6019084935976815e-13;6.352699871547358e-15
1.4e-17;-4.9909731564758726e-8;2.000000044223151e-11;6.943610032087831e6;0.07376718402170312;-1.6556472038891086e19;5.688707582395478e15;1.6019008562269406e-13;6.353463701644101e-15
1.5e-17;-4.990278795472664e-8;2.0000000515998696e-11;6.943593475615792e6;0.0794558916040986;-1.656046641734146e19;5.690756593118846e15;1.601893217032057e-13;6.3542277141885015e-15
1.6e-17;-4.9895844361251024e-8;2.0000000595454587e-11;6.943576915149375e6;0.08514664819721746;-1.656446223612633e19;5.692806585142373e15;1.6018855760123797e-13;6.354991909245763e-15
