t;z;y;vz;vy;az;ay
1.0e-15;-9.999999999999999e-6;1.25e-10;6.943824903389994e6;0.0;-5.484508872640812e10;685563.6090801016
2.0e-15;-9.993056175096608e-6;1.25e-10;6.943824903335149e6;6.855636090801017e-10;-5.492133507197259e10;686993.7248131405
3.0000000000000002e-15;-9.986112350193274e-6;1.250000000000007e-10;6.943824903280228e6;1.3725573338932421e-9;-5.499774052609822e10;688427.821025793
4.0e-15;-9.979168525289993e-6;1.2500000000000208e-10;6.943824903225231e6;2.060985154919035e-9;-5.507430553179041e10;689865.9115764216
5.000000000000001e-15;-9.972224700386768e-6;1.2500000000000414e-10;6.943824903170156e6;2.750851066495457e-9;-5.515103053359738e10;691308.010381327
6.0000000000000005e-15;-9.965280875483598e-6;1.2500000000000688e-10;6.943824903115005e6;3.442159076876784e-9;-5.522791597761678e10;692754.1314150329
7.0e-15;-9.958337050580483e-6;1.2500000000001032e-10;6.943824903059777e6;4.134913208291817e-9;-5.5304962311502e10;694204.2887105681
8.0e-15;-9.951393225677423e-6;1.2500000000001446e-10;6.943824903004472e6;4.829117497002385e-9;-5.538216998446885e10;695658.496359755
9.000000000000001e-15;-9.944449400774418e-6;1.250000000000193e-10;6.94382490294909e6;5.52477599336214e-9;-5.545953944730201e10;697116.7685134948
1.0000000000000002e-14;-9.93750557587147e-6;1.2500000000002482e-10;6.943824902893631e6;6.221892761875634e-9;-5.553707115236163e10;698579.119382058
1.1e-14;-9.930561750968575e-6;1.2500000000003105e-10;6.943824902838094e6;6.920471881257692e-9;-5.561476555359002e10;700045.5632353761
1.2000000000000001e-14;-9.923617926065737e-6;1.2500000000003798e-10;6.943824902782479e6;7.620517444493068e-9;-5.56926231065181e10;701516.1144033308
1.3000000000000001e-14;-9.916674101162954e-6;1.250000000000456e-10;6.943824902726787e6;8.322033558896399e-9;-5.577064426827224e10;702990.7872760512
1.4e-14;-9.909730276260227e-6;1.2500000000005393e-10;6.943824902671017e6;9.02502434617245e-9;-5.584882949758103e10;704469.5963042092
1.5000000000000002e-14;-9.902786451357557e-6;1.2500000000006295e-10;6.943824902615168e6;9.72949394247666e-9;-5.5927179254781784e10;705952.5559993141
1.6e-14;-9.895842626454942e-6;1.2500000000007267e-10;6.943824902559241e6;1.0435446498475975e-8;-5.600569400182757e10;707439.6809340158
1.7e-14;-9.888898801552383e-6;1.2500000000008311e-10;6.943824902503235e6;1.114288617940999e-8;-5.6084374202293846e10;708930.9857424024
1.8000000000000002e-14;-9.88195497664988e-6;1.2500000000009425e-10;6.943824902447151e6;1.1851817165152392e-8;-5.6163220321385376e10;710426.4851203037
1.9e-14;-9.875011151747433e-6;1.250000000001061e-10;6.943824902390988e6;1.2562243650272696e-8;-5.6242232825943054e10;711926.1938255945
2.0000000000000003e-14;-9.868067326845041e-6;1.2500000000011866e-10;6.943824902334745e6;1.327416984409829e-8;-5.632141218445096e10;713430.1266785029
2.1000000000000002e-14;-9.861123501942706e-6;1.2500000000013194e-10;6.943824902278423e6;1.3987599970776793e-8;-5.640075886704306e10;714938.2985619144
2.2e-14;-9.854179677040428e-6;1.2500000000014593e-10;6.943824902222022e6;1.4702538269338707e-8;-5.648027334551037e10;716450.7244216829
2.3000000000000003e-14;-9.847235852138207e-6;1.2500000000016064e-10;6.943824902165542e6;1.541898899376039e-8;-5.655995609330801e10;717967.4192669432
2.4000000000000002e-14;-9.84029202723604e-6;1.2500000000017604e-10;6.943824902108982e6;1.613695641302733e-8;-5.663980758556206e10;719488.3981704215
2.5e-14;-9.833348202333932e-6;1.2500000000019217e-10;6.943824902052342e6;1.685644481119775e-8;-5.671982829907671e10;721013.6762687495
2.6000000000000003e-14;-9.82640437743188e-6;1.2500000000020903e-10;6.943824901995623e6;1.75774584874665e-8;-5.6800018712341545e10;722543.2687627847
2.7000000000000002e-14;-9.819460552529885e-6;1.250000000002266e-10;6.943824901938822e6;1.8300001756229287e-8;-5.6880379305538475e10;724077.1909179233
2.8e-14;-9.812516727627946e-6;1.250000000002449e-10;6.943824901881942e6;1.902407894714721e-8;-5.696091056054905e10;725615.4580644248
2.9e-14;-9.805572902726065e-6;1.2500000000026393e-10;6.943824901824981e6;1.9749694405211635e-8;-5.704161296096163e10;727158.0855977297
3.0000000000000005e-14;-9.79862907782424e-6;1.2500000000028368e-10;6.943824901767939e6;2.0476852490809365e-8;-5.7122486992078674e10;728705.0889787866
3.1e-14;-9.791685252922471e-6;1.2500000000030415e-10;6.943824901710817e6;2.1205557579788152e-8;-5.720353314092398e10;730256.4837343749
3.2e-14;-9.784741428020761e-6;1.2500000000032535e-10;6.943824901653613e6;2.1935814063522527e-8;-5.728475189625013e10;731812.2854574334
3.3000000000000005e-14;-9.777797603119107e-6;1.250000000003473e-10;6.943824901596328e6;2.266762634897996e-8;-5.736614374854576e10;733372.5098073902
3.4e-14;-9.77085377821751e-6;1.2500000000036996e-10;6.9438249015389625e6;2.340099885878735e-8;-5.744770919004302e10;734937.1725104916
3.5e-14;-9.763909953315971e-6;1.2500000000039336e-10;6.943824901481515e6;2.4135936031297842e-8;-5.752944871472491e10;736506.2893601358
3.6000000000000004e-14;-9.75696612841449e-6;1.250000000004175e-10;6.943824901423985e6;2.487244232065798e-8;-5.761136281833293e10;738079.8762172092
3.7e-14;-9.750022303513066e-6;1.2500000000044237e-10;6.9438249013663735e6;2.5610522196875186e-8;-5.769345199837448e10;739657.9490104207
3.8e-14;-9.7430784786117e-6;1.2500000000046799e-10;6.94382490130868e6;2.6350180145885608e-8;-5.777571675413043e10;741240.5237366421
3.9000000000000004e-14;-9.73613465371039e-6;1.2500000000049433e-10;6.943824901250904e6;2.709142066962225e-8;-5.7858157586662766e10;742827.6164612479
4.0000000000000006e-14;-9.72919082880914e-6;1.2500000000052142e-10;6.943824901193046e6;2.7834248286083498e-8;-5.7940774998822105e10;744419.2433184574
4.1e-14;-9.722247003907946e-6;1.2500000000054926e-10;6.943824901135106e6;2.8578667529401955e-8;-5.802356949525547e10;746015.4205116796
4.2000000000000004e-14;-9.71530317900681e-6;1.2500000000057785e-10;6.943824901077082e6;2.9324682949913636e-8;-5.810654158241402e10;747616.1643138606
4.3000000000000006e-14;-9.708359354105733e-6;1.2500000000060716e-10;6.943824901018976e6;3.0072299114227494e-8;-5.818969176856062e10;749221.4910678295
4.4e-14;-9.701415529204714e-6;1.2500000000063722e-10;6.943824900960786e6;3.0821520605295325e-8;-5.827302056377783e10;750831.4171866513
4.5000000000000004e-14;-9.694471704303753e-6;1.2500000000066803e-10;6.943824900902513e6;3.1572352022481974e-8;-5.835652847997563e10;752445.9591539782
4.6000000000000006e-14;-9.68752787940285e-6;1.250000000006996e-10;6.943824900844157e6;3.232479798163595e-8;-5.8440216030899254e10;754065.1335244034
4.7e-14;-9.680584054502006e-6;1.2500000000073193e-10;6.943824900785716e6;3.307886311516036e-8;-5.852408373213718e10;755688.9569238197
4.8000000000000004e-14;-9.67364022960122e-6;1.2500000000076502e-10;6.943824900727192e6;3.383455207208418e-8;-5.860813210112894e10;757317.4460497748
4.9000000000000006e-14;-9.666696404700493e-6;1.2500000000079886e-10;6.943824900668584e6;3.4591869518133956e-8;-5.869236165717323e10;758950.6176718347
5.0e-14;-9.659752579799825e-6;1.2500000000083344e-10;6.943824900609892e6;3.535082013580579e-8;-5.877677292143594e10;760588.4886319451
5.1000000000000004e-14;-9.652808754899216e-6;1.250000000008688e-10;6.943824900551115e6;3.6111408624437734e-8;-5.886136641695808e10;762231.0758447964
5.2000000000000006e-14;-9.645864929998664e-6;1.2500000000090492e-10;6.943824900492254e6;3.687363970028253e-8;-5.894614266866397e10;763878.3962981906
5.3e-14;-9.638921105098172e-6;1.2500000000094178e-10;6.9438249004333075e6;3.7637518096580716e-8;-5.9031102203369385e10;765530.4670534093
5.4000000000000003e-14;-9.631977280197739e-6;1.2500000000097942e-10;6.943824900374277e6;3.8403048563634125e-8;-5.91162455497897e10;767187.3052455861
5.5000000000000005e-14;-9.625033455297365e-6;1.2500000000101783e-10;6.94382490031516e6;3.917023586887971e-8;-5.920157323854821e10;768848.9280840794
5.6e-14;-9.618089630397051e-6;1.25000000001057e-10;6.943824900255959e6;3.993908479696379e-8;-5.9287085802184265e10;770515.3528528475
5.700000000000001e-14;-9.611145805496794e-6;1.2500000000109693e-10;6.9438249001966715e6;4.070960014981664e-8;-5.9372783775161674e10;772186.5969108269
5.8e-14;-9.604201980596597e-6;1.2500000000113764e-10;6.943824900137299e6;4.148178674672747e-8;-5.945866769387705e10;773862.6776923105
5.9e-14;-9.597258155696459e-6;1.2500000000117913e-10;6.94382490007784e6;4.225564942441978e-8;-5.954473809666818e10;775543.6127073315
6.000000000000001e-14;-9.590314330796382e-6;1.250000000012214e-10;6.943824900018295e6;4.303119303712712e-8;-5.9630995523822334e10;777229.4195420448
6.1e-14;-9.583370505896364e-6;1.2500000000126443e-10;6.943824899958665e6;4.3808422456669164e-8;-5.9717440517585045e10;778920.1158591169
6.2e-14;-9.576426680996405e-6;1.2500000000130825e-10;6.943824899898947e6;4.458734257252828e-8;-5.980407362216839e10;780615.7193981124
6.300000000000001e-14;-9.569482856096506e-6;1.2500000000135284e-10;6.943824899839143e6;4.536795829192639e-8;-5.989089538375963e10;782316.2479758852
6.4e-14;-9.562539031196666e-6;1.250000000013982e-10;6.943824899779253e6;4.6150274539902276e-8;-5.997790635052976e10;784021.7194869707
6.5e-14;-9.555595206296887e-6;1.2500000000144434e-10;6.943824899719275e6;4.6934296259389246e-8;-6.006510707264228e10;785732.1519039833
6.600000000000001e-14;-9.548651381397167e-6;1.2500000000149129e-10;6.94382489965921e6;4.772002841129323e-8;-6.01524981022618e10;787447.5632780127
6.7e-14;-9.541707556497509e-6;1.25000000001539e-10;6.943824899599058e6;4.850747597457124e-8;-6.0240079993562744e10;789167.9717390235
6.8e-14;-9.534763731597909e-6;1.2500000000158752e-10;6.943824899538818e6;4.929664394631027e-8;-6.032785330273836e10;790893.3954962606
6.900000000000001e-14;-9.52781990669837e-6;1.2500000000163682e-10;6.9438248994784895e6;5.008753734180653e-8;-6.0415818588009224e10;792623.8528386492
7.0e-14;-9.520876081798892e-6;1.2500000000168691e-10;6.943824899418074e6;5.088016119464518e-8;-6.050397640963235e10;794359.3621352061
7.1e-14;-9.513932256899473e-6;1.2500000000173779e-10;6.943824899357569e6;5.167452055678038e-8;-6.059232732991001e10;796099.9418354463
7.200000000000001e-14;-9.506988432000116e-6;1.2500000000178946e-10;6.943824899296977e6;5.247062049861583e-8;-6.068087191319877e10;797845.6104697973
