[z = 1.943824903389994e-9, y = 1.25e-10], [vz = 6.943605728543558e6, vy = 5.479371160904224], [az = -2.191748464361689e17, ay = 5.479371160904223e15]
[z = 8.887430631933553e-9, y = 1.250054793711609e-10], [vz = 6.9450482926288e6, vy = 98.2451909323981], [az = 1.4425640852417416e18, ay = 9.276581977149387e16]
[z = 1.5832478924562352e-8, y = 1.251037245620933e-10], [vz = 6.945117708124531e6, vy = 99.22154930628072], [az = 6.941549573219009e16, ay = 9.763583738826162e14]
[z = 2.2777596632686883e-8, y = 1.252029461113996e-10], [vz = 6.945139585702158e6, vy = 99.3944196734819], [az = 2.1877577625881468e16, ay = 1.7287036720118338e14]
[z = 2.9722736218389042e-8, y = 1.2530234053107307e-10], [vz = 6.94515015636608e6, vy = 99.45252405941895], [az = 1.0570663922606546e16, ay = 5.810438593703832e13]
[z = 3.666788637475512e-8, y = 1.254017930551325e-10], [vz = 6.945156364321529e6, vy = 99.47869497928126], [az = 6.207955448900835e15, ay = 2.617091986230544e13]
[z = 4.361304273907665e-8, y = 1.2550127175011178e-10], [vz = 6.945160443365346e6, vy = 99.49264504456075], [az = 4.0790438168920745e15, ay = 1.3950065279488959e13]
[z = 5.0558203182441993e-8, y = 1.2560076439515634e-10], [vz = 6.9451633267300315e6, vy = 99.50094223990118], [az = 2.88336468587786e15, ay = 8.297195340438983e12]
[z = 5.7503366509172025e-8, y = 1.2570026533739625e-10], [vz = 6.945165472338434e6, vy = 99.50627253327531], [az = 2.145608402376425e15, ay = 5.330293374127238e12]
[z = 6.444853198151046e-8, y = 1.2579977160992953e-10], [vz = 6.945167130962982e6, vy = 99.50989822614119], [az = 1.6586245475079422e15, ay = 3.625692865888333e12]
[z = 7.139369911247343e-8, y = 1.2589928150815568e-10], [vz = 6.945168451374192e6, vy = 99.51247559173098], [az = 1.3204112099355085e15, ay = 2.5773655897815024e12]
[z = 7.833886756384763e-8, y = 1.2599879398374742e-10], [vz = 6.945169527383302e6, vy = 99.5143730809436], [az = 1.0760091105587104e15, ay = 1.8974892126286125e12]
[z = 8.528403709123093e-8, y = 1.2609830835682836e-10], [vz = 6.945170421062152e6, vy = 99.51581045757112], [az = 8.936788496335491e14, ay = 1.4373766275193708e12]
[z = 9.222920751229308e-8, y = 1.2619782416728593e-10], [vz = 6.945171175113323e6, vy = 99.51692537403493], [az = 7.54051170805306e14, ay = 1.1149164638081104e12]
